type,prefixes,code_a,code_b,message
incompatible,*,PAUT,OPM,Porte automatique et manuelle incompatibles
interdit,REM,PDA,,Porte double action non disponible pour les bennes REM
interdit,REM,PAUT,,Porte automatique non disponible pour les bennes REM
interdit,BBFL,PAUT,,Porte automatique non disponible pour les bennes BBFL
interdit,BBMT,PAUT,,Porte automatique non disponible pour les bennes BBMT
interdit,MS-HD,PAUT,,Porte automatique non disponible pour les bennes MS-HD
interdit,Inox,PAUT,,Porte automatique non disponible pour les bennes en acier inox
interdit,REM,OPM,,Porte à ouverture manuelle non disponible pour les bennes REM
interdit, BBFL, I12,,Porte inclinée 12" non disponible pour les bennes BBFL
interdit, BBMT, I12,,Porte inclinée 12" non disponible pour les bennes BBMT
interdit, MS-HD, I12,,Porte inclinée 12" non disponible pour les bennes MS-HD


interdit, EL, AP,, Côtés avec poteaux non disponible pour les bennes EL
interdit, REM, AP,, Côtés avec poteaux non disponible pour les bennes REM
interdit, BBFL, AP,, Côtés avec poteaux non disponible pour les bennes BBFL
interdit, BBMT, AP,, Côtés avec poteaux non disponible pour les bennes BBMT
interdit, Inox, AP,, Côtés avec poteaux non disponible pour les bennes en acier inox
interdit, EL, CI,, Côtés inclinées non disponible pour les bennes EL
interdit, MS-HD, CI,, Côtés inclinées non disponible pour les bennes MS-HD
